date,state,dose,daily_vac
2021-03-19,Negeri Sembilan,1st Dose,275
2021-03-19,Pahang,1st Dose,1503
2021-03-19,Perak,1st Dose,1939
2021-03-19,Perlis,1st Dose,7
2021-03-19,Penang,1st Dose,1519
2021-03-19,Sabah,1st Dose,997
2021-03-19,Sarawak,1st Dose,141
2021-03-19,Selangor,1st Dose,2820
2021-03-19,Terengganu,1st Dose,0
2021-03-19,Kuala Lumpur,1st Dose,1048
2021-03-19,Labuan,1st Dose,0
2021-03-19,Putrajaya,1st Dose,0
2021-03-20,Johor,1st Dose,731
2021-03-20,Kedah,1st Dose,6
2021-03-20,Kelantan,1st Dose,360
2021-03-20,Melaka,1st Dose,0
2021-03-20,Negeri Sembilan,1st Dose,0
2021-03-20,Pahang,1st Dose,1347
2021-03-20,Perak,1st Dose,1082
2021-03-20,Perlis,1st Dose,0
2021-03-20,Penang,1st Dose,1886
2021-03-20,Sabah,1st Dose,864
2021-03-20,Sarawak,1st Dose,864
2021-03-20,Selangor,1st Dose,560
2021-03-20,Terengganu,1st Dose,1
2021-03-20,Kuala Lumpur,1st Dose,0
2021-03-20,Labuan,1st Dose,0
2021-03-20,Putrajaya,1st Dose,0
2021-03-21,Johor,1st Dose,666
2021-03-21,Kedah,1st Dose,6
2021-03-21,Kelantan,1st Dose,362
2021-03-21,Melaka,1st Dose,0
2021-03-21,Negeri Sembilan,1st Dose,0
2021-03-21,Pahang,1st Dose,2914
2021-03-21,Perak,1st Dose,555
2021-03-21,Perlis,1st Dose,0
2021-03-21,Penang,1st Dose,1439
2021-03-21,Sabah,1st Dose,38
2021-03-21,Sarawak,1st Dose,1475
2021-03-21,Selangor,1st Dose,598
2021-03-21,Terengganu,1st Dose,1660
2021-03-21,Kuala Lumpur,1st Dose,1
2021-03-21,Labuan,1st Dose,0
2021-03-21,Putrajaya,1st Dose,0
2021-03-22,Johor,1st Dose,962
2021-03-22,Kedah,1st Dose,14
2021-03-22,Kelantan,1st Dose,374
2021-03-22,Melaka,1st Dose,11
2021-03-22,Negeri Sembilan,1st Dose,605
2021-03-22,Pahang,1st Dose,32
2021-03-22,Perak,1st Dose,364
2021-03-22,Perlis,1st Dose,0
2021-03-22,Penang,1st Dose,1256
2021-03-22,Sabah,1st Dose,683
2021-03-22,Sarawak,1st Dose,634
2021-03-22,Selangor,1st Dose,2200
2021-03-22,Terengganu,1st Dose,1717
2021-03-22,Kuala Lumpur,1st Dose,865
2021-03-22,Labuan,1st Dose,0
2021-03-22,Putrajaya,1st Dose,4
2021-03-23,Johor,1st Dose,588
2021-03-23,Kedah,1st Dose,4
2021-03-23,Kelantan,1st Dose,17
2021-03-23,Melaka,1st Dose,147
2021-03-23,Negeri Sembilan,1st Dose,1755
2021-03-23,Pahang,1st Dose,60
2021-03-23,Perak,1st Dose,394
2021-03-23,Perlis,1st Dose,0
2021-03-23,Penang,1st Dose,817
2021-03-23,Sabah,1st Dose,282
2021-03-23,Sarawak,1st Dose,191
2021-03-23,Selangor,1st Dose,2593
2021-03-23,Terengganu,1st Dose,606
2021-03-23,Kuala Lumpur,1st Dose,845
2021-03-23,Labuan,1st Dose,1
2021-03-23,Putrajaya,1st Dose,7
2021-03-24,Johor,1st Dose,676
2021-03-24,Kedah,1st Dose,10
2021-03-24,Kelantan,1st Dose,19
2021-03-24,Melaka,1st Dose,217
